Client Name,Lobbyist Trading Name
Flagship Property,LESL Services Pty Limited
Fletcher Building,Cosway Australia
Foodfund Australia,Robert Tunchon & Associates Pty Ltd
Foodfund Foundation,Robert Tunchon & Associates Pty Ltd
Fortius Funds Management Pty Ltd,Profile Ray & Berndtson
Franklins,Scott Taylor Communication
Free Fair Trade Philippines,Philippine Commerce and Trade Advisory Service
Fujitsu Australia,Hawker Britton Group
Fulton Hogan,Government Relations Australia Advisory Pty Ltd
Future Materials,Leisure Solutions®
GE Corporate Australia,CPR Communications & Public Relations Pty Ltd
GE Energy Australia,CPR Communications & Public Relations Pty Ltd
GE Healthcare Australia,CPR Communications & Public Relations Pty Ltd
GMW Urban,Richardson Coutts Pty Ltd
GPT,Bluegrass Consulting
GTECH Corporation,CPR Communications & Public Relations Pty Ltd
GTL Energy Ltd,GR Solutions
Gaming Technologies Association (GTA),Bluegrass Consulting
Gandangara Local Aboriginal Land Council,Herbert Geer
Gasparin Group Pty Ltd,GR Solutions
Gazcorp,Wilkinson Media
General Dynamics,Profile Ray & Berndtson
Genworth Finance,Hawker Britton Group
Geodynamics Ltd,Government Relations Australia Advisory Pty Ltd
GetUp,Essential Media Communications
Gibbens Industries,CRAKYL Pty Ltd
GlaxoSmithKline,AusAccess Pty Ltd
Global Defence Industries,AusAccess Pty Ltd
Global Renewable Eastern Creek,Profile Ray & Berndtson
Global Renewables,TJM Consulting
Gloucester Resources Limited,FD Third Person Pty Ltd
Gosford City Council,Saunders-McDermott Consulting
Gradex Pty Ltd,Margaret Fisher & Associates
Green Cross,Republic Consulting
Greyhound Racing NSW,Government Relations Australia Advisory Pty Ltd
Grocon Pty Ltd,Profile Ray & Berndtson
Group Training Australia,Foresight Communications
Grow Green,Open Door Consulting
Gtech,FD Third Person Pty Ltd
Guardian Foundation,Graham Richardson
HAS Global,Hawker Britton Group
HBOS Australia,Parker & Partners Public Affairs
Habitat for Humanity,Government Relations Australia Advisory Pty Ltd
Hammond Care Group,N/A
HammondCare,Australian Public Affairs Ltd Partnership
Harbour City Metro,Government Relations Australia Advisory Pty Ltd
Hardie Holdings,Graham Richardson
Hasbro,Hill & Knowlton
Hawkize,Hawker Britton Group
HealthStaff Ed,CPR Communications & Public Relations Pty Ltd
Henry Davis York,The Agenda Group NSW
Hewlett-Packard,Burson-Marsteller
Hilltop Residents Action Group,Hawker Britton Group
Hindmarsh,AusAccess Pty Ltd
Holmes Institute Pty Ltd,Government Relations Australia Advisory Pty Ltd
Hong Kong Economic and Trade Office,Hawker Britton Group
Housing Services Australia,Keating Consulting
Huawei,Burson-Marsteller
Human,Hawker Britton Group
Hunter Economic Zone,Foresight Communications
Hunter Imaging Group,FordComm Consulting Pty Ltd
Hunter Pacific Executive,Hawker Britton Group
Hunter Radiology,Endeavour Consulting Group Pty Ltd
Hutchison 3G Australia Ltd,Endeavour Consulting Group Pty Ltd
Hutchison Ports Investments,Hawker Britton Group
Hydro Aluminium Kurri Kurri,FordComm Consulting Pty Ltd
IFC Capital,Keating Consulting
IGA Distribution,Profile Ray & Berndtson
ING Australia Ltd,John Connolly & Partners
INSEAD,Republic Consulting
IQRA Grammar College,TJM Consulting
ISPT Pty Ltd,Hawker Britton Group
ISS Australia,Endeavour Consulting Group Pty Ltd
ISS Facility Services,The Zamovet Consultancy
IVF Directors Group,Forbes Shardlow Pty Ltd
Ikaria,Ogilvy PR Health
Illawarra Country Club & Golf Resort,Hawker Britton Group
Ilum-a-lite,MacGregor Public Relations
Imperial Tobacco,Jackson Wells Pty Ltd
InSinkErator,Hill & Knowlton
Incitec Pivot,Manidis Roberts
Incitec Pivot Pty Ltd,Endeavour Consulting Group Pty Ltd
Independent Cement Ltd,David Simmons Corporate Communications
Independent Rail,John Durst Consulting
Independent Rail/Road,John Durst Consulting
Independent Rehabilitation Suppliers Association,The Agenda Group NSW
Independent Retailers of NSW and ACT,CPR Communications & Public Relations Pty Ltd
Independent Transport Group,John Durst Consulting
Indue,Sciaccas Lawyers and Consultants
IndyGroup,John Durst Consulting
Infratex Philippines,Philippine Commerce and Trade Advisory Service
